api_response_time_millis
16
16
16
16
16
16
16
2
6
2
5
3
10
2
3
5
8
2
4
5
2
2
3
2
8
8
8
8
8
8
8
8
8
8
15
14
14
14
14
14
14
14
14
14
13
12
11
10
10
10
9
9
8
9
8
4
4
8
7
2
3
3
7
16
16
16
16
16
16
16
16
16
16
16
15
15
15
15
15
14
14
13
13
13
13
13
13
13
13
13
13
13
13
13
13
13
13
13
13
13
13
12
11
10
10
5
4
8
6
4
11
11
10
10
8
8
8
8
14
12
8
9
5
4
4
2
8
2
2
2
3
9
9
9
9
16
14
13
13
12
12
11
12
2
2
2
2
16
8
8
17
17
17
17
17
17
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
3
3
2
8
8
2
2
2
8
2
2
3
2
2
8
2
2
2
2
7
7
2
2
2
2
4
7
7
2
2
2
4
7
2
2
2
2
2
7
8
10
3
1
9
9
2
2
2
2
7
2
3
2
2
2
8
2
4
2
2
2
7
2
4
2
2
1
7
2
3
2
1
2
7
9
2
2
2
2
7
8
3
2
2
1
6
8
2
2
2
7
5
2
4
2
1
7
2
2
2
2
2
7
9
2
2
2
3
7
2
2
2
3
2
7
9
2
2
2
7
7
2
2
2
2
2
7
8
2
2
2
7
8
2
2
2
2
7
2
3
1
2
1
7
7
1
2
1
2
3
7
5
2
2
2
2
7
5
11
12
12
12
12
12
2
2
7
7
9
2
2
2
2
7
7
2
2
2
7
7
2
2
2
1
2
7
9
2
2
2
2
8
2
2
2
2
3
7
2
1
2
2
2
7
2
3
2
3
2
7
2
2
2
4
7
2
2
2
8
8
2
2
2
2
3
2
1
1
3
1
2
8
2
2
2
2
3
7
7
2
2
2
2
7
5
2
2
3
2
7
2
2
2
2
2
7
2
2
2
3
2
2
2
3
3
3
7
3
2
2
4
4
8
2
2
2
2
2
8
2
4
2
2
5
8
2
3
2
2
2
7
1
2
2
2
2
8
2
2
4
2
4
8
2
2
2
2
4
2
2
2
2
5
7
2
2
3
3
2
8
2
2
2
2
2
7
8
2
2
3
7
7
2
2
2
2
4
4
7
2
2
2
2
9
2
2
2
2
5
7
2
2
2
7
7
2
3
2
3
4
8
2
2
2
2
3
8
3
2
2
4
2
7
2
2
2
2
2
2
7
2
2
2
2
8
3
2
2
4
3
8
10
2
3
1
7
2
2
2
2
2
7
2
2
2
2
2
7
7
2
2
2
2
7
2
3
2
2
3
7
10
2
3
2
2
9
8
4
2
2
2
2
2
2
2
2
8
8
2
3
2
3
7
9
2
4
2
3
9
2
3
2
2
4
8
2
2
2
3
2
8
10
2
2
3
8
8
2
2
2
2
7
7
2
1
2
2
4
