,0
0,95.2
1,95.2
2,95.2
3,95.2
4,96.2
5,96.2
6,95.2
7,95.2
8,95.2
9,95.2
10,96.2
11,96.2
12,96.2
13,96.2
14,96.2
15,96.2
16,96.2
17,96.2
18,96.2
19,96.2
20,96.2
21,96.2
22,96.2
23,96.2
24,96.2
25,96.2
26,547.2
27,547.2
28,547.2
29,547.2
30,547.2
31,547.2
32,547.2
33,547.2
34,547.2
35,548.2
36,548.2
37,548.2
38,548.2
39,548.2
40,547.2
41,547.2
42,547.2
43,548.2
44,548.2
45,548.2
46,548.2
47,548.2
48,549.2
49,550.2
50,551.2
51,551.2
52,553.2
53,553.2
54,553.2
55,553.2
56,553.2
57,553.2
58,553.2
59,553.2
60,553.2
61,553.2
62,553.2
63,554.2
64,554.2
65,554.2
66,554.2
67,554.2
68,554.2
69,554.2
70,554.2
71,554.2
72,554.2
73,554.2
74,554.2
75,555.2
76,555.2
77,555.2
78,555.2
79,555.2
80,555.2
81,555.2
82,555.2
83,555.2
84,555.2
85,555.2
86,555.2
87,555.2
88,555.2
89,556.2
90,556.2
91,556.2
92,556.2
93,556.2
94,556.2
95,556.2
96,556.2
97,556.2
98,557.2
99,557.2
100,557.2
101,557.2
102,557.2
103,557.2
104,557.2
105,557.2
106,557.2
107,557.2
108,557.2
109,557.2
110,557.2
111,558.2
112,558.2
113,558.2
114,558.2
115,558.2
116,558.2
117,558.2
118,625.2
119,625.2
120,627.2
121,627.2
122,632.2
123,632.2
124,632.2
125,632.2
126,632.2
127,632.2
128,632.2
129,632.2
130,632.2
131,632.2
132,632.2
133,633.2
134,633.2
135,633.2
136,633.2
137,633.2
138,633.2
139,633.2
140,633.2
141,633.2
142,633.2
143,633.2
144,634.2
145,634.2
146,634.2
147,634.2
148,634.2
149,634.2
150,634.2
151,634.2
152,634.2
153,634.2
154,634.2
155,634.2
156,635.2
157,635.2
158,635.2
159,635.2
160,635.2
161,635.2
162,635.2
163,635.2
164,635.2
165,635.2
166,635.2
167,635.2
168,635.2
169,636.2
170,636.2
171,636.2
172,636.2
173,636.2
174,636.2
175,636.2
176,636.2
177,636.2
178,636.2
179,636.2
180,637.2
181,637.2
182,637.2
183,637.2
184,637.2
185,637.2
186,637.2
187,637.2
188,637.2
189,635.2
190,635.2
191,635.2
192,635.2
193,635.2
194,635.2
195,635.2
196,635.2
197,635.2
198,635.2
199,636.2
200,636.2
201,636.2
202,636.2
203,636.2
204,637.2
205,637.2
206,638.2
207,638.2
208,638.2
209,638.2
210,638.2
211,638.2
212,638.2
213,638.2
214,638.2
215,639.2
216,639.2
217,639.2
218,639.2
219,639.2
220,639.2
221,639.2
222,639.2
223,639.2
224,639.2
225,640.2
226,640.2
227,641.2
228,641.2
229,641.2
230,641.2
231,641.2
232,641.2
233,641.2
234,641.2
235,642.2
236,642.2
237,642.2
238,642.2
239,642.2
240,642.2
241,642.2
242,642.2
243,642.2
244,642.2
245,643.2
246,643.2
247,643.2
248,643.2
249,643.2
250,643.2
251,643.2
252,643.2
253,643.2
254,643.2
255,644.2
256,644.2
257,644.2
258,644.2
259,644.2
260,644.2
261,644.2
262,644.2
263,644.2
264,644.2
265,645.2
266,645.2
267,642.2
268,642.2
269,642.2
270,642.2
271,642.2
272,642.2
273,641.2
274,641.2
275,641.2
276,641.2
277,641.2
278,641.2
279,641.2
280,641.2
281,642.2
282,642.2
283,642.2
284,642.2
285,642.2
286,642.2
287,642.2
288,642.2
289,642.2
290,642.2
291,642.2
292,642.2
293,642.2
294,643.2
295,643.2
296,641.2
297,641.2
298,642.2
299,642.2
300,642.2
301,642.2
302,643.2
303,644.2
304,644.2
305,644.2
306,644.2
307,644.2
308,646.2
309,647.2
310,647.2
311,644.2
312,644.2
313,644.2
314,644.2
315,644.2
316,645.2
317,645.2
318,645.2
319,645.2
320,645.2
321,645.2
322,645.2
323,645.2
324,645.2
325,645.2
326,645.2
327,645.2
328,645.2
329,645.2
330,645.2
331,645.2
332,646.2
333,645.2
334,645.2
335,645.2
336,645.2
337,645.2
338,645.2
339,645.2
340,645.2
341,645.2
342,646.2
343,645.2
